0:, estados unidos - 6315
315:, cuerpo humano - 30
316:, finlandia - 29
317:, alberto fernández - 29
318:, pueblos indígenas del perú - 29
319:, hugo chávez - 28
320:, etiopía - 28
321:, libano - 28
322:, elecciones generales de perú de 2021 - 28
323:, sexismo - 27
324:, filipinas - 27
325:, enfermedades cardiovasculares - 27
326:, innovación - 27
327:, otan - 27
328:, julian assange - 26
329:, asia del sur - 26
330:, libertad de expresión - 26
331:, industria textil - 26
332:, inglaterra - 26
333:, kamala harris - 26
334:, kenia - 25
335:, rafael correa - 25
336:, inflación - 25
337:, elecciones en colombia - 25
338:, escocia - 25
339:, huracán dorian - 25
340:, stephen hawking - 24
341:, república democrática del congo - 24
342:, qatar - 24
343:, día internacional de la mujer - 24
344:, bbc - 24
345:, golfo pérsico - 24
346:, incendio de notre dame - 24
347:, pedro castillo - 24
348:, esa (agencia espacial europea) - 23
349:, suiza - 23
350:, martín vizcarra - 23
351:, jamal khashoggi - 22
352:, eclipse - 21
353:, libia - 21
354:, robótica - 21
355:, tokio 2020 - 20
356:, wikileaks - 20
357:, depresión - 20
358:, prostitución - 20
359:, matrimonio - 20
360:, irlanda - 20
361:, fernando haddad - 20
362:, elecciones presidenciales en argentina 2019 - 20
363:, jeanine áñez - 20
364:, premios oscar 2017 - 19
365:, sudan - 19
366:, áfrica occidental - 19
367:, emmanuel macron - 19
368:, uber - 19
369:, recep tayyip erdogan - 19
370:, luiz inácio lula da silva - 19
371:, cirugía - 19
372:, ética médica - 19
373:, criptomoneda - 19
374:, ébola - 18
375:, europa central - 18
376:, human rights watch - 18
377:, fertilidad - 18
378:, desaparición del submarino ara san juan - 18
379:, opep - 18
380:, llegada del hombre a la luna - 18
381:, organización mundial del comercio - 18
382:, erupción del volcán de fuego - 18
383:, filosofía - 18
384:, elecciones generales de chile de 2021 - 18
385:, islandia - 17
386:, miguel díaz-canel - 17
387:, lenín moreno - 17
388:, ataques del 11 de septiembre de 2001 - 17
389:, elecciones presidenciales en uruguay 2019 - 17
390:, somalia - 16
391:, electrónica - 16
392:, asia central - 16
393:, mauricio macri - 16
394:, austria - 16
395:, gripe - 16
396:, yemen - 16
397:, mohammed bin salman - 16
398:, belice - 15
399:, malasia - 15
400:, fumar - 15
401:, transporte ferroviario - 15
402:, pesca - 15
403:, ejercicios - 15
404:, irlanda del norte - 15
405:, terremoto y tsunami en indonesia - 15
406:, atentado en barcelona - 14
407:, marruecos - 14
408:, antibióticos - 14
409:, prisioneros políticos - 14
410:, armenia - 14
411:, bangladesh - 13
412:, virus zika - 13
413:, zimbabue - 13
414:, diabetes - 13
415:, sequía - 13
416:, netflix - 13
417:, elecciones presidenciales de ecuador de 2021 - 13
418:, serbia - 12
419:, leonardo da vinci - 12
420:, violencia - 12
421:, eurozona - 12
422:, azerbaiyán - 12
423:, boko haram - 12
424:, banco mundial - 12
425:, teatro - 12
426:, mike pence - 12
427:, tortura - 12
428:, guyana - 12
429:, libertad de prensa - 12
430:, hungría - 12
431:, singapur - 12
432:, canal de suez - 12
433:, pandora papers - 12
434:, g20 - 11
435:, ataque en westminster - 11
436:, ayuda humanitaria - 11
437:, mundial de fútbol 2018 - 11
438:, ricardo anaya cortés - 11
439:, budismo - 11
440:, blockchain - 11
441:, luis arce - 11
442:, keiko fujimori - 11
443:, croacia - 10
444:, hambruna - 10
445:, bosnia y herzegovina - 10
446:, demencia - 10
447:, josé antonio meade kuribreña - 10
448:, reciclaje - 10
449:, malaria - 10
450:, alan garcía - 10
451:, 75 aniversario del día d - 9
452:, jupiter - 9
453:, ayuda internacional - 9
454:, drones - 9
455:, g7 - 9
456:, deportes paralímpicos - 9
457:, anatomía - 9
458:, kobe bryant - 9
459:, kuwait - 8
460:, argelia - 8
461:, áfrica oriental - 8
462:, radio - 8
463:, humor - 8
464:, alejandro giammattei - 8
465:, alexei navalny - 8
466:, jamaica - 7
467:, disputa fronteriza entre china e india - 7
468:, demografía - 7
469:, elecciones en costa rica 2018 - 7
470:, memoria - 7
471:, mujer anónima - 7
472:, elecciones generales de españa de 2019 - 7
473:, mao tse tung - 7
474:, baloncesto - 7
475:, mali - 7
476:, elecciones federales de méxico de 2021 - 7
477:, mercosur - 6
478:, deportes de invierno - 6
479:, trinidad y tobago - 6
480:, tiktok - 6
481:, diego armando maradona - 6
482:, guillermo lasso - 6
483:, amnistía internacional - 5
484:, sudán del sur - 5
485:, 80 aniversario de bbc mundo - 5
486:, clavados - 5
487:, copa del mundo - 5
488:, gales - 5
489:, costa de marfil - 5
490:, camboya - 5
491:, ruanda - 5
492:, república checa - 5
493:, cerveza - 4
494:, dopaje - 4
495:, hassan rouhani - 4
496:, fútbol americano - 4
497:, 18 años - 4
498:, ciclismo - 4
499:, brunei - 4
500:, juegos de apuestas - 4
501:, tanzania - 4
502:, canal de panamá - 4
503:, elecciones presidenciales en brasil 2014 - 3
504:, organización de estados americanos - 3
505:, juegos de londres 2012 - 3
506:, polania - 3
507:, dalai lama - 3
508:, edad desconocida - 3
509:, fue asesinada en ámsterdam - 3
510:, corte penal internacional - 3
511:, papúa nueva guinea - 3
512:, mongolia - 3
513:, ghana - 3
514:, boxeo - 3
515:, atletismo - 3
516:, copa américa - 3
517:, tenis - 3
518:, silvio berlusconi - 2
519:, nicolas sarkozy - 2
520:, paradise papers - 2
521:, caso judicial - 2
522:, surinam - 2
523:, elecciones en paraguay 2018 - 2
524:, automovilismo - 2
525:, bollywood - 2
526:, tiro - 2
527:, golf - 2
528:, fue asesinada en indianápolis - 2
529:, niña anónima - 2
530:, 22 años - 2
531:, 24 años - 2
532:, 67 años - 2
533:, 36 años - 2
534:, 27 años - 2
535:, 55 años - 2
536:, fue asesinada en quezon city - 2
537:, carlos alvarado quesada - 2
538:, cruz roja - 2
539:, elecciones generales en reino unido 2015 - 2
540:, túnez - 2
541:, fútbol femenino - 2
542:, gimnasia - 2
543:, superliga europea - 2
544:, eurocopa 2020 - 2
545:, vida sostenible - 2
546:, tony blair - 1
547:, crossing divides - 1
548:, bután - 1
549:, eliminatorias sudas rusia 2018 - 1
550:, juegos paralímpicos río 2016 - 1
551:, neha sharad chaudhary - 1
552:, fue asesinada en malegaon - 1
553:, 31 años - 1
554:, fue asesinada en mashhad - 1
555:, linda miller - 1
556:, 66 años - 1
557:, ee.uu. - 1
558:, 17 años - 1
559:, fue asesinada en alipur - 1
560:, judith chesang - 1
561:, fue asesinada en baringo - 1
562:, farzana bibi - 1
563:, fue asesinada en pakpattan - 1
564:, dina mapelli - 1
565:, 77 años - 1
566:, fue asesinada en vimercate - 1
567:, sandra lucia hammer moura fue asesinada en palmas - 1
568:, jennifer majín males - 1
569:, fue asesinada en los cámbulos - 1
570:, 82 años - 1
571:, fue asesinada en dracsani - 1
572:, rumania - 1
573:, yanet nuñez niclouse - 1
574:, 46 años - 1
575:, fue asesinada en río claro - 1
576:, ritu devi - 1
577:, fue asesinada en neeli - 1
578:, 30 años - 1
579:, 5 años - 1
580:, katty mayorly jácome hernández - 1
581:, 34 años - 1
582:, fue asesinada en cúcuta - 1
583:, niah - 1
584:, fue asesinada en dumai - 1
585:, marie-amelie vaillat - 1
586:, fue asesinada en oyonnax - 1
587:, 85 años - 1
588:, fue asesinada en kawasaki - 1
589:, vanessa vicente da silva - 1
590:, fue asesinada en serra talhada - 1
591:, resti nova dila - 1
592:, 20 años - 1
593:, fue asesinada en solok del sur - 1
594:, t. zh - 1
595:, fue asesinada en el distrito de azaka - 1
596:, uzbekistán - 1
597:, justina coelho lopes - 1
598:, 69 años - 1
599:, fue asesinada en barau - 1
600:, griselda iria osorio álvarez - 1
601:, 21 años - 1
602:, fue asesinada en tijuana - 1
603:, edineuza costa silva fue asesinada en quixeramobim - 1
604:, paula andrea alvarez morales - 1
605:, 35 años - 1
606:, fue asesinada en ciudad bolívar - 1
607:, mujer anónima fue asesinada en tandlianwala - 1
608:, maria gladis herrera de damián - 1
609:, fue asesinada en san pedro puxtla - 1
610:, tábata amscoli de paz lópez - 1
611:, fue asesinada en ciudad de guatemala - 1
612:, barbie pigg - 1
613:, 49 años - 1
614:, fue asesinada en middlesbrough - 1
615:, leoncia tupas - 1
616:, vilma josefina contreras - 1
617:, fue asesinada en huiziltepeque - 1
618:, mujer anónima fue asesinada en belem - 1
619:, 39 años - 1
620:, fue asesinada en campeche - 1
621:, emily punzalan bucay - 1
622:, mujer anónima fue asesinada en tapachula - 1
623:, gabriela da rosa silva - 1
624:, fue asesinada en porto alegre - 1
625:, mujer anónima fue asesinada en lahore - 1
626:, zeinab sekaanvand - 1
627:, fue asesinada en urmia - 1
628:, unmar sanam - 1
629:, 50 años - 1
630:, fue asesinada en birmingham - 1
631:, rute maria da conceicao - 1
632:, fue asesinada en olinda - 1
633:, avan najmadeen - 1
634:, 32 años - 1
635:, fue asesinada en stoke-on-trent - 1
636:, karen groves - 1
637:, 58 años - 1
638:, damaris yoselin &quot;n&quot; - 1
639:, fue asesinada en acapulco - 1
640:, milaine ferreira de oliveira - 1
641:, 19 años - 1
642:, fue asesinada en minas gerais - 1
643:, 61 años - 1
644:, fue asesinada en el distrito de vanj - 1
645:, tayikistán - 1
646:, supinah - 1
647:, 48 años - 1
648:, fue asesinada en sekadau hilir - 1
649:, saturn - 1
650:, liga premier - 1
651:, industria editorial - 1
652:, malaui - 1
653:, ateísmo - 1
654:, guinea ecuatorial - 1
655:, príncipe william - 1
656:, duque de cambridge - 1
657:, revolución cultural - 1
658:, bulgaria - 1
659:, liga de fútbol de alemania - 1
660:, lucha - 1
661:, ramadán - 1
662:, natación - 1
663:, levantamiento de pesas - 1
664:, bádminton - 1
665:, gadgets - 1
666:, narendra modi - 1
